--- VOWELS ---
u̫ /ʒʌ/ ZH|AH zhuh
ų̫ /ʒjʌ/ ZH|Y|AH zhiuh
á̫ /ʒeɪ/ ZH|EY zhay
ą̫́ /ʒjeɪ/ ZH|Y|EY zhiay
é̫ /ʒiː/ ZH|IY zhee
í̫ /ʒaɪ/ ZH|AY zhiy
ó̫ /ʒoʊ/ ZH|OW zhoh
ǫ̫́ /ʒjoʊ/ ZH|Y|OW zhioh
ú̫ /ʒuː/ ZH|UW zhoo
ų̫́ /ʒjuː/ ZH|Y|UW zhioo
ä̫ /ʒɔː/ ZH|AO zhaw
ą̫̈ /ʒjɔː/ ZH|Y|AO zhiaw
ë̫ /ʒɜː/ ZH|ER zher
ę̫̈ /ʒjɜː/ ZH|Y|ER zhier
ï̫ /ʒɪuː/ ZH|IHUW zhioo
ö̫ /ʒɔɪ/ ZH|OY zhoi
ü̫ /ʒaʊ/ ZH|AW zhow
ų̫̈ /ʒjaʊ/ ZH|Y|AW zhiow
â̫ /ʒɑː/ ZH|AA zhah
ą̫̂ /ʒjɑː/ ZH|Y|AA zhiah
û̫ /ʒʊ/ ZH|UH zhuu
ų̫̂ /ʒjʊ/ ZH|Y|UH zhiuu
a̦ /tʃæ/ CH|AE chaa
ą̦ /tʃjæ/ CH|Y|AE chiaa
e̦ /tʃɛ/ CH|EH cheh
ę̦ /tʃjɛ/ CH|Y|EH chieh
i̦ /tʃɪ/ CH|IH chih
o̦ /tʃɒ/ CH|AA cho
ǫ̦ /tʃjɒ/ CH|Y|AA chio
u̦ /tʃʌ/ CH|AH chuh
ų̦ /tʃjʌ/ CH|Y|AH chiuh
á̦ /tʃeɪ/ CH|EY chay
ą̦́ /tʃjeɪ/ CH|Y|EY chiay
é̦ /tʃiː/ CH|IY chee
í̦ /tʃaɪ/ CH|AY chiy
ó̦ /tʃoʊ/ CH|OW choh
ǫ̦́ /tʃjoʊ/ CH|Y|OW chioh
ú̦ /tʃuː/ CH|UW choo
ų̦́ /tʃjuː/ CH|Y|UW chioo
ä̦ /tʃɔː/ CH|AO chaw
ą̦̈ /tʃjɔː/ CH|Y|AO chiaw
ë̦ /tʃɜː/ CH|ER cher
ę̦̈ /tʃjɜː/ CH|Y|ER chier
ï̦ /tʃɪuː/ CH|IHUW chioo
ö̦ /tʃɔɪ/ CH|OY choi
ü̦ /tʃaʊ/ CH|AW chow
ų̦̈ /tʃjaʊ/ CH|Y|AW chiow
â̦ /tʃɑː/ CH|AA chah
ą̦̂ /tʃjɑː/ CH|Y|AA chiah
û̦ /tʃʊ/ CH|UH chuu
ų̦̂ /tʃjʊ/ CH|Y|UH chiuu
a͈ /θæ/ TH|AE thaa
ą͈ /θjæ/ TH|Y|AE thiaa
e͈ /θɛ/ TH|EH theh
ę͈ /θjɛ/ TH|Y|EH thieh
i͈ /θɪ/ TH|IH thih
o͈ /θɒ/ TH|AA tho
ǫ͈ /θjɒ/ TH|Y|AA thio
u͈ /θʌ/ TH|AH thuh
ų͈ /θjʌ/ TH|Y|AH thiuh
á͈ /θeɪ/ TH|EY thay
ą͈́ /θjeɪ/ TH|Y|EY thiay
é͈ /θiː/ TH|IY thee
í͈ /θaɪ/ TH|AY thiy
ó͈ /θoʊ/ TH|OW thoh
ǫ͈́ /θjoʊ/ TH|Y|OW thioh
ú͈ /θuː/ TH|UW thoo
ų͈́ /θjuː/ TH|Y|UW thioo
ä͈ /θɔː/ TH|AO thaw
ą͈̈ /θjɔː/ TH|Y|AO thiaw
ë͈ /θɜː/ TH|ER ther
ę͈̈ /θjɜː/ TH|Y|ER thier
ï͈ /θɪuː/ TH|IHUW thioo
ö͈ /θɔɪ/ TH|OY thoi
ü͈ /θaʊ/ TH|AW thow
ų͈̈ /θjaʊ/ TH|Y|AW thiow
â͈ /θɑː/ TH|AA thah
ą͈̂ /θjɑː/ TH|Y|AA thiah
û͈ /θʊ/ TH|UH thuu
ų͈̂ /θjʊ/ TH|Y|UH thiuu
ȁ /zæ/ Z|AE zaa
ą̏ /zjæ/ Z|Y|AE ziaa
ȅ /zɛ/ Z|EH zeh
ę̏ /zjɛ/ Z|Y|EH zieh
ȉ /zɪ/ Z|IH zih
ȍ /zɒ/ Z|AA zo
ǫ̏ /zjɒ/ Z|Y|AA zio
ȕ /zʌ/ Z|AH zuh
ų̏ /zjʌ/ Z|Y|AH ziuh
á̏ /zeɪ/ Z|EY zay
ą́̏ /zjeɪ/ Z|Y|EY ziay
é̏ /ziː/ Z|IY zee
í̏ /zaɪ/ Z|AY ziy
ó̏ /zoʊ/ Z|OW zoh
ǫ́̏ /zjoʊ/ Z|Y|OW zioh
ú̏ /zuː/ Z|UW zoo
ų́̏ /zjuː/ Z|Y|UW zioo
ä̏ /zɔː/ Z|AO zaw
ą̈̏ /zjɔː/ Z|Y|AO ziaw
ë̏ /zɜː/ Z|ER zer
ę̈̏ /zjɜː/ Z|Y|ER zier
ï̏ /zɪuː/ Z|IHUW zioo
ö̏ /zɔɪ/ Z|OY zoi
ü̏ /zaʊ/ Z|AW zow
ų̈̏ /zjaʊ/ Z|Y|AW ziow
â̏ /zɑː/ Z|AA zah
ą̂̏ /zjɑː/ Z|Y|AA ziah
û̏ /zʊ/ Z|UH zuu
ų̂̏ /zjʊ/ Z|Y|UH ziuu
a̅ /læ/ L|AE laa
e̅ /lɛ/ L|EH leh
i̅ /lɪ/ L|IH lih
o̅ /lɒ/ L|AA lo
u̅ /lʌ/ L|AH luh
á̅ /leɪ/ L|EY lay
é̅ /liː/ L|IY lee
í̅ /laɪ/ L|AY liy
ó̅ /loʊ/ L|OW loh
ú̅ /luː/ L|UW loo
ä̅ /lɔː/ L|AO law
ë̅ /lɜː/ L|ER ler
ö̅ /lɔɪ/ L|OY loi
ü̅ /laʊ/ L|AW low
â̅ /lɑː/ L|AA lah
û̅ /lʊ/ L|UH luu

ǎ̇ /svæ/ S|V|AE svaa
ě̇ /svɛ/ S|V|EH sveh
ǐ̇ /svɪ/ S|V|IH svih
ǒ̇ /svɒ/ S|V|AA svo
ǔ̇ /svʌ/ S|V|AH svuh
á̌̇ /sveɪ/ S|V|EY svay
é̌̇ /sviː/ S|V|IY svee
í̌̇ /svaɪ/ S|V|AY sviy
ó̌̇ /svoʊ/ S|V|OW svoh
ú̌̇ /svuː/ S|V|UW svoo
ä̌̇ /svɔː/ S|V|AO svaw
ë̌̇ /svɜː/ S|V|ER sver
ï̌̇ /svɪuː/ S|V|IHUW svioo
ö̌̇ /svɔɪ/ S|V|OY svoi
ǚ̇ /svaʊ/ S|V|AW svow
â̌̇ /svɑː/ S|V|AA svah
û̌̇ /svʊ/ S|V|UH svuu

ã̇ /swæ/ S|W|AE swaa
ẽ̇ /swɛ/ S|W|EH sweh
ĩ̇ /swɪ/ S|W|IH swih
õ̇ /swɒ/ S|W|AA swo
ũ̇ /swʌ/ S|W|AH swuh
á̃̇ /sweɪ/ S|W|EY sway
é̃̇ /swiː/ S|W|IY swee
í̃̇ /swaɪ/ S|W|AY swiy
ó̃̇ /swoʊ/ S|W|OW swoh
ú̃̇ /swuː/ S|W|UW swoo
ä̃̇ /swɔː/ S|W|AO swaw
ë̃̇ /swɜː/ S|W|ER swer
ï̃̇ /swɪuː/ S|W|IHUW swioo
ö̃̇ /swɔɪ/ S|W|OY swoi
ü̃̇ /swaʊ/ S|W|AW swow
ẫ̇ /swɑː/ S|W|AA swah
û̃̇ /swʊ/ S|W|UH swuu
a̅̇ /slæ/ S|L|AE slaa
e̅̇ /slɛ/ S|L|EH sleh
i̅̇ /slɪ/ S|L|IH slih
o̅̇ /slɒ/ S|L|AA slo
u̅̇ /slʌ/ S|L|AH sluh
á̅̇ /sleɪ/ S|L|EY slay
é̅̇ /sliː/ S|L|IY slee
í̅̇ /slaɪ/ S|L|AY sliy
ó̅̇ /sloʊ/ S|L|OW sloh
ú̅̇ /sluː/ S|L|UW sloo
ä̅̇ /slɔː/ S|L|AO slaw
ë̅̇ /slɜː/ S|L|ER sler
ï̅̇ /slɪuː/ S|L|IHUW slioo
ö̅̇ /slɔɪ/ S|L|OY sloi
ü̅̇ /slaʊ/ S|L|AW slow
â̅̇ /slɑː/ S|L|AA slah
û̅̇ /slʊ/ S|L|UH sluu
a̅̊ /flæ/ F|L|AE flaa
e̅̊ /flɛ/ F|L|EH fleh
i̅̊ /flɪ/ F|L|IH flih
o̅̊ /flɒ/ F|L|AA flo
u̅̊ /flʌ/ F|L|AH fluh
á̅̊ /fleɪ/ F|L|EY flay
é̅̊ /fliː/ F|L|IY flee
í̅̊ /flaɪ/ F|L|AY fliy
ó̅̊ /floʊ/ F|L|OW floh
ú̅̊ /fluː/ F|L|UW floo
ä̅̊ /flɔː/ F|L|AO flaw
ë̅̊ /flɜː/ F|L|ER fler
ï̅̊ /flɪuː/ F|L|IHUW flioo
ö̅̊ /flɔɪ/ F|L|OY floi
ü̅̊ /flaʊ/ F|L|AW flow
â̅̊ /flɑː/ F|L|AA flah
û̅̊ /flʊ/ F|L|UH fluu

