New_Word	Synonyms	Frequency	Col2	Col3	Pronunciation	Theme	TargetSize
áth	they	20000	/eɪth/	EY|T|HH	ayth	u	2
im	me	20000	/ɪm/	IH|M	ihm	u	2
émy	him	20000	/iːmj/	IY|M|Y	eemy	u	2
ëry	her	20000	/ɜːɹj/	ER|R|Y	erry	u	2
emth	them	20000	/ɛmθ/	EH|M|TH	ehmth	u	2
íyn	my,mine	20000	/aɪjn/	AY|Y|N	iyyn	u	2
ïr	your	20000	/juːɹ/	Y|UW|R	ioor	u	2
ïrz	yours	20000	/juːɹz/	Y|UW|R|Z	ioorz	u	2
éhz	his	20000	/iːhz/	IY|HH|Z	eehz	u	2
ëhz	hers	20000	/ɜːhz/	ER|HH|Z	erhz	u	2
itz	its	20000	/ɪtz/	IH|T|Z	ihtz	u	2
ür	our	20000	/aʊɹ/	AW|R	owr	u	2
ürz	ours	20000	/aʊɹz/	AW|R|Z	owrz	u	2
erzh	their	20000	/ɛɹʒ/	EH|R|ZH	ehrzh	u	2
erthz	theirs	20000	/ɛɹθz/	EH|R|TH|Z	ehrthz	u	2
iths	this	20000	/ɪθs/	IH|TH|S	ihths	u	2
atth	that	20000	/ætth/	AE|T|T|HH	aatth	u	2
éthz	these	20000	/iːθz/	IY|TH|Z	eethz	u	2
óthz	those	20000	/oʊθz/	OW|TH|Z	ohthz	u	2
úzw	who,whom,whose	20000	/uːzw/	UW|Z|W	oozw	u	2
ichw	which	20000	/ɪtʃw/	IH|CH|W	ihchw	u	2
otw	what	20000	/ɒtw/	AA|T|W	otw	u	2
erw	where	20000	/ɛɹw/	EH|R|W	ehrw	u	2
enw	when	20000	/ɛnw/	EH|N|W	ehnw	u	2
íyw	why	20000	/aɪjw/	AY|Y|W	iyyw	u	2
üwh	how	20000	/aʊwh/	AW|W|HH	owwh	u	2
érh	here	20000	/iːɹh/	IY|R|HH	eerh	u	2
erth	there	20000	/ɛɹθ/	EH|R|TH	ehrth	u	2
an	an	20000	/æn/	AE|N	aan	u	2
eth	the	20000	/ɛth/	EH|T|HH	ehth	u	2
am	am	20000	/æm/	AE|M	aam	u	2
iz	is	20000	/ɪz/	IH|Z	ihz	u	2
âry	are	20000	/ɑːɹj/	AA|R|Y	ahry	u	2
äzw	was	20000	/ɔːzw/	AO|Z|W	awzw	u	2
ërw	were	20000	/ɜːɹw/	ER|R|W	errw	u	2
éb	be	20000	/iːb/	IY|B	eeb	u	2
ény	been	20000	/iːnj/	IY|N|Y	eeny	u	2
énb	being	20000	/iːnb/	IY|N|B	eenb	u	2
avy	have,having	20000	/ævj/	AE|V|Y	aavy	u	2
asy	has	20000	/æsj/	AE|S|Y	aasy	u	2
ady	had	20000	/ædj/	AE|D|Y	aady	u	2
úd	do	20000	/uːd/	UW|D	ood	u	2
udz	does	20000	/ʌdz/	AH|D|Z	uhdz	u	2
idy	did	20000	/ɪdj/	IH|D|Y	ihdy	u	2
und	done	20000	/ʌnd/	AH|N|D	uhnd	u	2
anky	can	20000	/ænkj/	AE|N|K|Y	aanky	u	2
ûdk	could	20000	/ʊdk/	UH|D|K	uudk	u	2
iwl	will	20000	/ɪwl/	IH|W|L	ihwl	u	2
ûdw	would	20000	/ʊdw/	UH|D|W	uudw	u	2
alsh	shall	20000	/ælʃ/	AE|L|SH	aalsh	u	2
ûdsh	should	20000	/ʊdʃ/	UH|D|SH	uudsh	u	2
ámy	may	20000	/eɪmj/	EY|M|Y	aymy	u	2
ítm	might	20000	/aɪtm/	AY|T|M	iytm	u	2
ustm	must	20000	/ʌstm/	AH|S|T|M	uhstm	u	2
äty	ought	20000	/ɔːtj/	AO|T|Y	awty	u	2
erdy	dare	20000	/ɛɹdj/	EH|R|D|Y	ehrdy	u	2
édy	need	20000	/iːdj/	IY|D|Y	eedy	u	2
and	and	20000	/ænd/	AE|N|D	aand	u	2
utb	but	20000	/ʌtb/	AH|T|B	uhtb	u	2
ory	or	20000	/ɒɹj/	AA|R|Y	ory	u	2
orn	nor	20000	/ɒɹn/	AA|R|N	orn	u	2
orf	for	20000	/ɒɹf/	AA|R|F	orf	u	2
ety	yet	20000	/ɛtj/	EH|T|Y	ehty	u	2
ós	so	20000	/oʊs/	OW|S	ohs	u	2
óbth	both	20000	/oʊbθ/	OW|B|TH	ohbth	u	2
íthr	either	20000	/aɪθɹ/	AY|TH|R	iythr	u	2
ínthr	neither	20000	/aɪnθɹ/	AY|N|TH|R	iynthr	u	2
otn	not	20000	/ɒtn/	AA|T|N	otn	u	2
ân	no,nay	20000	/ɑːn/	AA|N	ahn	u	2
esy	yes,yeah	20000	/ɛsj/	EH|S|Y	ehsy	u	2
ók	okay,ok	20000	/oʊk/	OW|K	ohk	u	2
óh	oh,wow	20000	/oʊh/	OW|HH	ohh	u	2
âh	ah,a	20000	/ɑːh/	AA|HH	ahh	u	2
als	alas	20000	/æls/	AE|L|S	aals	u	2
áy	hey	20000	/eɪj/	EY|Y	ayy	u	2
hi	hi	20000	/hɪ/	HH|IH	hih	u	2
elh	hello	20000	/ɛlh/	EH|L|HH	ehlh	u	2
íbb	bye,goodbye	20000	/aɪbb/	AY|B|B	iybb	u	2
épz	please	20000	/iːpz/	IY|P|Z	eepz	u	2
anks	thanks,thanks	20000	/ænks/	AE|N|K|S	aanks	u	2
if	if	20000	/ɪf/	IH|F	ihf	u	2
usl	unless	20000	/ʌsl/	AH|S|L	uhsl	u	2
ethw	whether	20000	/ɛθw/	EH|TH|W	ehthw	u	2
äz	because	20000	/ɔːz/	AO|Z	awz	u	2
ins	since	20000	/ɪns/	IH|N|S	ihns	u	2
az	as	20000	/æz/	AE|Z	aaz	u	2
ozm	forasmuch	20000	/ɒzm/	AA|Z|M	ozm	u	2
uzm	inasmuch	20000	/ʌzm/	AH|Z|M	uhzm	u	2
óthl	although	20000	/oʊθl/	OW|TH|L	ohthl	u	2
óth	though	20000	/oʊθ/	OW|TH	ohth	u	2
évn	even	20000	/iːvn/	IY|V|N	eevn	u	2
ílw	while	20000	/aɪlw/	AY|L|W	iylw	u	2
ozw	whereas	20000	/ɒzw/	AA|Z|W	ozw	u	2
ílsw	whilst	20000	/aɪlsw/	AY|L|S|W	iylsw	u	2
untl	until	20000	/ʌntl/	AH|N|T|L	uhntl	u	2
ilt	till	20000	/ɪlt/	IH|L|T	ihlt	u	2
esj	lest	20000	/ɛsdʒ/	EH|S|JH	ehsj	u	2
anth	than	20000	/ænθ/	AE|N|TH	aanth	u	2
ídv	provided	20000	/aɪdv/	AY|D|V	iydv	u	2
upz	supposing	20000	/ʌpz/	AH|P|Z	uhpz	u	2
ott	sothat	20000	/ɒtt/	AA|T|T	ott	u	2
ordth	inorderthat	20000	/ɒɹdθ/	AA|R|D|TH	ordth	u	2
ov	of	20000	/ɒv̩/	AA|V	ov	u	2
út	to	20000	/uːt/	UW|T	oot	u	2
iwn	in	20000	/ɪwn/	IH|W|N	ihwn	u	2
on	on	20000	/ɒn/	AA|N	on	u	2
íb	by	20000	/aɪb/	AY|B	iyb	u	2
at	at	20000	/æt/	AE|T	aat	u	2
ithw	with	20000	/ɪθw/	IH|TH|W	ihthw	u	2
omfr	from	20000	/ɒmfɹ/	AA|M|F|R	omfr	u	2
int	into	20000	/ɪnt/	IH|N|T	ihnt	u	2
ont	onto	20000	/ɒnt/	AA|N|T	ont	u	2
upn	upon	20000	/ʌpn/	AH|P|N	uhpn	u	2
âbt	about	20000	/ɑːbt/	AA|B|T	ahbt	u	2
ukr	across	20000	/ʌkɹ/	AH|K|R	uhkr	u	2
aft	after	20000	/æft/	AE|F|T	aaft	u	2
ágs	against	20000	/eɪgs/	EY|G|S	aygs	u	2
âl	along	20000	/ɑːl/	AA|L	ahl	u	2
ongsd	alongside	20000	/ɒŋsd/	AA|NG|S|D	ongsd	u	2
âmst	among,amongst,amidst,amid	20000	/ɑːmst/	AA|M|S|T	ahmst	u	2
ündr	around	20000	/aʊndɹ/	AW|N|D|R	owndr	u	2
éfr	before	20000	/iːfɹ/	IY|F|R	eefr	u	2
éndb	behind	20000	/iːndb/	IY|N|D|B	eendb	u	2
ubw	below	20000	/ʌbw/	AH|B|W	uhbw	u	2
énthb	beneath	20000	/iːnθb/	IY|N|TH|B	eenthb	u	2
esd	beside	20000	/ɛsd/	EH|S|D	ehsd	u	2
esds	besides	20000	/ɛsds/	EH|S|D|S	ehsds	u	2
ondy	beyond	20000	/ɒndj/	AA|N|D|Y	ondy	u	2
úrng	during	20000	/uːɹŋ/	UW|R|NG	oorng	u	2
exz	except,excepting	20000	/ɛksz/	EH|KS|Z	ehksz	u	2
exkl	excluding	20000	/ɛkskl/	EH|KS|K|L	ehkskl	u	2
inkl	including	20000	/ɪnkl/	IH|N|K|L	ihnkl	u	2
inds	inside	20000	/ɪndz/	IH|N|D|Z	ihnds	u	2
uts	outside	20000	/ʌts/	AH|T|S	uhts	u	2
érn	near	20000	/iːɹn/	IY|R|N	eern	u	2
érnb	nearby	20000	/iːɹnb/	IY|R|N|B	eernb	u	2
óvr	over	20000	/oʊvɹ/	OW|V|R	ohvr	u	2
âst	past	20000	/ɑːst/	AA|S|T	ahst	u	2
úthtr	throughout	20000	/uːθtɹ/	UW|TH|T|R	oothtr	u	2
ord	toward,towards	20000	/ɒɹd/	AA|R|D	ord	u	2
undr	under	20000	/ʌndɹ/	AH|N|D|R	uhndr	u	2
undn	underneath	20000	/ʌndn/	AH|N|D|N	uhndn	u	2
up	up	20000	/ʌp/	AH|P	uhp	u	2
ivy	via	20000	/ɪvj/	IH|V|Y	ihvy	u	2
ithn	within	20000	/ɪθn/	IH|TH|N	ihthn	u	2
ísn	concerning	20000	/aɪsn/	AY|S|N	iysn	u	2
âg	regarding	20000	/ɑːg/	AA|G	ahg	u	2
esk	respecting	20000	/ɛsk/	EH|S|K	ehsk	u	2
áv	save	20000	/eɪv̩/	EY|V	ayv	u	2
ung	barring	20000	/ʌŋ/	AH|NG	uhng	u	2
onsq	consequent	20000	/ɒnsq/	AA|N|S|Q	onsq	u	2
olw	following	20000	/ɒlw/	AA|L|W	olw	u	2
uspl	plus	20000	/ʌspl/	AH|S|P|L	uhspl	u	2
íns	minus	20000	/aɪns/	AY|N|S	iyns	u	2
ërp	per	20000	/ɜːɹp/	ER|R|P	errp	u	2
ësy	versus	20000	/ɜːsj/	ER|S|Y	ersy	u	2
ek	one	20000	/ɛk/	EH|K	ehk	u	2
ody	body	20000	/ɒdj/	AA|D|Y	ody	u	2
ingth	thing	20000	/ɪŋθ/	IH|NG|TH	ihngth	u	2
áyw	way	20000	/eɪjw/	EY|Y|W	ayyw	u	2
uny	noone	20000	/ʌnj/	AH|N|Y	uhny	u	2
ubd	nobody	20000	/ʌbd/	AH|B|D	uhbd	u	2
uthn	nothing	20000	/ʌθn/	AH|TH|N	uhthn	u	2
ówr	nowhere	20000	/oʊwɹ/	OW|W|R	ohwr	u	2
äl	all	20000	/ɔːl/	AO|L	awl	u	2
evr	every	20000	/ɛvɹ/	EH|V|R	ehvr	u	2
úw	few	20000	/uːw/	UW|W	oow	u	2
úwr	fewer	20000	/uːwɹ/	UW|W|R	oowr	u	2
úwst	fewest	20000	/uːwst/	UW|W|S|T	oowst	u	2
amy	many	20000	/æmj/	AE|M|Y	aamy	u	2
uchm	much	20000	/ʌtʃm/	AH|CH|M	uhchm	u	2
orm	more	20000	/ɒɹm/	AA|R|M	orm	u	2
ëtm	most	20000	/ɜːtm/	ER|T|M	ertm	u	2
um	some	20000	/ʌm/	AH|M	uhm	u	2
ívl	several	20000	/aɪvl/	AY|V|L	iyvl	u	2
ânthr	another	20000	/ɑːnθɹ/	AA|N|TH|R	ahnthr	u	2
uthr	other,others	20000	/ʌθɹ/	AH|TH|R	uhthr	u	2
uchs	such	20000	/ʌtʃs/	AH|CH|S	uhchs	u	2
áms	same	20000	/eɪms/	EY|M|S	ayms	u	2
ówn	own	20000	/oʊwn/	OW|W|N	ohwn	u	2
ónl	only	20000	/oʊnl/	OW|N|L	ohnl	u	2
ust	just	20000	/ʌst/	AH|S|T	uhst	u	2
els	else	20000	/ɛls/	EH|L|S	ehls	u	2
esl	less,lesser	20000	/ɛsl/	EH|S|L	ehsl	u	2
éstl	least	20000	/iːstl/	IY|S|T|L	eestl	u	2
útt	too	20000	/uːtt/	UW|T|T	oott	u	2
ery	very	20000	/ɛɹj/	EH|R|Y	ehry	u	2
ítq	quite	20000	/aɪtq/	AY|T|Q	iytq	u	2
âthr	rather	20000	/ɑːθɹ/	AA|TH|R	ahthr	u	2
umsw	somewhat	20000	/ʌmsw/	AH|M|S|W	uhmsw	u	2
ik	profile,profiling	19262	/ɪk/	IH|K	ihk	n	4
ab	lacking, absence, absent, lack, absences	9395	/æb/	AE|B	aab	k	4
ev	result,outcome,consequence,effect,resultant,outcomes,consequent	8938	/ɛv/	EH|V	ehv	j	2
eks	execution,implementation,implement,executed,administered,managed,implemented,managing,execute,executing,executions,manage,administering	5637	/ɛks/	EH|K|S	ehks	s	2
akz	action, act	5283	/ækz/	AE|K|Z	aakz	t	2
ed	established,establishment,establish,establisher,establishing,establishments	4790	/ɛd/	EH|D	ehd	u	4
es	process,processing,procedure,method,protocol,processable	4578	/ɛs/	EH|S	ehs	t	3
ist	agent,agents	4297	/ɪst/	IH|S|T	ihst	d	4
ij	religious,divine,spiritual,sacred,theological,holy,pious,devotion,theologian,devout,devotional,divining,religion,theology,piety,devoted	2080	/ɪdʒ/	IH|JH	ihj	w	4
ul	plural,multiple,plurality,manifold,many,innumerable,multiplicative	2077	/ʌl/	AH|L	uhl	k	2
exv	excessive,excess,excessively,surplus,excessiveness	1927	/ɛksv/	EH|KS|V	ehksv	k	2
âsp	prior,antecedent,past,preceding,antecedence,previous,precedence,former	1827	/ɑːsp/	AA|S|P	ahsp	ğ	2
imp	impossibility,impossible,incapability,incapable,inability,incapacity	1721	/ɪmp/	IH|M|P	ihmp	j	3
úvl	removal,extraction,destruction,removed,elimination,ruin,withdrawal,relinquishment,removing,obliteration,eradication,remove,extract,destructive,destroying,leaching,extractor,excerpt,demolition,remover,eliminated,relinquished,relinquishing,extracted,ruining,destroy,leached	1716	/uːvl/	UW|V|L	oovl	s	2
áp	capable,capability	1577	/eɪp/	EY|P	ayp	s	2
ukch	structure, structural, framework, infrastructure, structured, structures, scaffolding, framing, structuring, frame, frames	1481	/ʌktʃ/	AH|K|CH	uhkch	g	2
emw	partial,half,partially,halved,semi	1358	/ɛmw/	EH|M|W	ehmw	k	2
enj	fabrication,creation,generation,production,producing,generating,manufacturing,product,making,manufactured,produced,creating,fabricators,fabricated,produce,make,create	1275	/ɛndʒ/	EH|N|JH	ehnj	d	2
asp	characteristic, property, quality, trait, feature, characterized, characteristics, qualities	1186	/æsp/	AE|S|P	aasp	n	3
itsk	historical,historic,antiquity,old,antiquated,antique	1155	/ɪtsk/	IH|T|S|K	ihtsk	w	4
intl	cognitive, mental, intellectual, concept, idea, conceptual, conceptualization, ideation, mind, thought, minded, intellect, cognition, think, thinking	1140	/ɪntl/	IH|N|T|L	ihntl	m	2
odr	secondary	1136	/ɒdɹ/	AA|D|R	odr	l	2
ób	formation, form, shaped, shape, shaping, forming, formed, shapes	1115	/oʊb/	OW|B	ohb	t	2
imst	instrument,instruments	1071	/ɪmst/	IH|M|S|T	ihmst	d	2
áts	state,states	1020	/eɪts/	EY|T|S	ayts	jb	2
emp	temporal,time,temporally	950	/ɛmp/	EH|M|P	ehmp	ğ	2
ansf	conversion, alteration, modification, transformation, mutation, change, modifier, converted, morphing, altering, customization, transform, transformative, changed, changing, altered, modified, converter, converting, transformer, transformed	946	/ænsf/	AE|N|S|F	aansf	j	2
izh	measurement, metric, meter, measure, metrical, measuring, measurable, measurability, measured, meters	939	/ɪʒ/	IH|ZH	ihzh	k	2
omp	compound,composition,combination,composite,amalgamation,compositions,combine,combiner,combining	924	/ɒmp/	AA|M|P	omp	c	3
extr	extreme,extremely	861	/ɛkstɹ/	EH|KS|T|R	ehkstr	k	2
ilq	liquid,fluid,liquefaction,fluidity	852	/ɪlq/	IH|L|Q	ihlq	c	2
ät	autonomous,autonomy,independence	831	/ɔːt/	AO|T	awt	s	2
äwls	false, deceptive, illusion, deception, fraud, trickery, fraudulent, illusory, falsehood, falsification, trick, forgery, illusions, falsely, fallacious, fallacy	831	/ɔːwls/	AO|W|L|S	awwls	u	4
ub	subordinate,inferior,subordination,subservient,junior,inferiority	795	/ʌb/	AH|B	uhb	ß	3
ámt	material,substance,matter,materiality,materials,materialism,materialization,substances	788	/eɪmt/	EY|M|T	aymt	c	2
áshl	spatial,spatiality	762	/eɪʃl/	EY|SH|L	ayshl	p	2
ábr	labor, exertion, effort, working, work, laboring, works, labored, effortful, exerted, operation, operator, operating, handler, operations	756	/eɪbɹ/	EY|B|R	aybr	d	4
estr	restoration,repair,recovery,renewal,restoring,fixed,restored,fixing,restorative,regeneration,reestablishment,restorer,reclamation,restorational,fix,restore,regenerated	749	/ɛstɹ/	EH|S|T|R	ehstr	s	2
égl	statutory, legal, statute, legislative, law, legislation, laws	744	/iːgl/	IY|G|L	eegl	s	4
iln	plant,botanical,vegetation,botany,plants,planting,vegetative,flora	740	/ɪln/	IH|L|N	ihln	bt	3
ishl	origin,initial,genesis,initiation,original,origination,commencement,initiator,founder,initiative,startup,initiating,incipient,origins,originator,initiated,initialization,originated,originating,originality,begin,beginning,start	737	/ɪʃl/	IH|SH|L	ihshl	ğ	2
án	domain,realm,sphere,domains,realms,spheres	728	/eɪn/	EY|N	ayn	s	2
olz	textual,document,text,book,manuscript,books,documents,booklet,pamphlet,texts,documenter,documentation,manuscripts	724	/ɒlz/	AA|L|Z	olz	z	2
ethdl	manner, methodology, style, way, methodologies, styles	723	/ɛθdl/	EH|TH|D|L	ehthdl	g	2
ál	failure,failing,fail	714	/eɪl/	EY|L	ayl	s	2
ëmthl	thermal, heat, temperature, warm, heating, warming, heated, thermally, hot	703	/ɜːmθl/	ER|M|TH|L	ermthl	t	2
äthy	authority, executive, administration, director, management, leader, administrator, commander, manager, leadership, managerial, leaders, managers	670	/ɔːθj/	AO|TH|Y	awthy	s	2
ódj	knowledge, comprehension, wisdom, understanding, insight, intuitive, intuition, know	666	/oʊddʒ/	OW|D|JH	ohdj	m	2
ump	consumption,eating,dining,consuming,consume,consumed,eat	664	/ʌmp/	AH|M|P	uhmp	u	3
adsh	custom, practice, traditional, orthodox, customary, tradition, traditionalism, practices	661	/ædʃ/	AE|D|SH	aadsh	ß	4
önz	financial,currency,monetary,coin,cash	646	/ɔɪnz/	OY|N|Z	oinz	c	2
okt	doctrine, doctrines	641	/ɒkt/	AA|K|T	okt	w	2
ips	repetition, iterative, repeated, repetitive, iteration, cyclic, recurring, cyclical, recurrence, periodic, periodical, repeat, repeating, iteratively	636	/ɪps/	IH|P|S	ihps	ğ	2
onv	conveyance, transport, delivery, carrying, carrier, shipping, transportation, transported, transporter, conveyances, carry, transfer	628	/ɒnv̩/	AA|N|V	onv	n	3
áz	praise,worship,veneration,reverence,esteem,tribute,praising,admiration,reverent,worshiper,admirer	624	/eɪz/	EY|Z	ayz	þk	3
úv	movement,locomotion,motion,locomotor,motile	623	/uːv̩/	UW|V	oov	p	2
úx	factual, truth, authenticity, genuine, true, truthful, truthfulness, authentic	623	/uːks/	UW|KS	ooks	j	2
ös	vocal, speech, vocalization, speaking, speeches, vocalized	622	/ɔɪs/	OY|S	ois	h	2
ofz	formal,formality,formalized	619	/ɒfz/	AA|F|Z	ofz	g	2
ujk	trajectory,path,routing,course,route,pathway,coursed	616	/ʌdʒk/	AH|JH|K	uhjk	p	4
ünds	boundary,perimeter,edge,border,demarcation,margin,edged,edging,margined	590	/aʊndz/	AW|N|D|Z	ownds	s	2
ids	condition,conditions	567	/ɪds/	IH|D|S	ihds	s	3
ósh	public, social, societal, communal	563	/oʊʃ/	OW|SH	ohsh	ß	2
uvd	covering,cover,covered	559	/ʌvd/	AH|V|D	uhvd	d	4
udy	study,studied,studies	553	/ʌdj/	AH|D|Y	uhdy	z	3
útl	two, dual, binary, double, twofold, twin, pairing, paired, pair, doubled, couple	550	/uːtl/	UW|T|L	ootl	u	4
ítl	light, illumination, glow, radiant, luminous, shine, lustrous, radiance, luminance, illuminated, bright, lighting, afterglow, incandescent, illuminator, blessed, brilliant	543	/aɪtl/	AY|T|L	iytl	vf	2
usr	mutual,reciprocal,coexistence,mutually,reciprocation,reciprocating	542	/ʌsɹ/	AH|S|R	uhsr	ß	2
isht	tissue	541	/ɪʃt/	IH|SH|T	ihsht	h	4
äsk	inducing,causal,induced,induce,trigger,triggering,causation,cause,inducer,triggered,causative	537	/ɔːsk/	AO|S|K	awsk	s	2
ézd	disease,disorder,illness,affliction,sickness,syndrome,affected,afflicted	534	/iːzd/	IY|Z|D	eezd	s	4
ërf	surface	523	/ɜːɹf/	ER|R|F	errf	b	2
ozd	residential, dwelling, habitation, habitat, residence, inhabitant, inhabitants, housing, residency, occupant, occupancy, domicile, house, houses, resident, residences, inhabit, inhabited, inhabiting	523	/ɒzd/	AA|Z|D	ozd	ž	3
ish	reduction,diminution,depreciation,decrease,attenuation,dampening,reduce,reducer,decreasing,less	521	/ɪʃ/	IH|SH	ihsh	k	2
ätw	aquatic, water, freshwater, aqueous	510	/ɔːtw/	AO|T|W	awtw	h	4
istm	system,systems	507	/ɪstm/	IH|S|T|M	ihstm	g	2
otm	anatomical	503	/ɒtm/	AA|T|M	otm	h	3
oj	logical, logic	501	/ɒdʒ/	AA|JH	oj	n	2
ekl	single,singular,one,singularity	499	/ɛkl/	EH|K|L	ehkl	k	2
ekw	equal, identity, egalitarian, identical, equivalence, equivalent, same, equality, equalization, parity, equalizing	499	/ɛkw/	EH|K|W	ehkw	l	2
as	support, assistance, assistant, supporting, facilitation, supported, supportive, helper, assistive, encouraging, assistants, assisting, assisted, supporter, supportable, help, facilitative	491	/æs/	AE|S	aas	l	3
osh	position,placement,venue,positioning,apposition,placed,placing,locating	487	/ɒʃ/	AA|SH	osh	p	2
öbl	biological,organic,organized,organizing	487	/ɔɪbl/	OY|B|L	oibl	h	3
óks	acoustic, auditory, ear, audio, hearing, aural, auricular	485	/oʊks/	OW|K|S	ohks	v	3
ol	pigment,color,dye,staining,hue,pigmentation,tint,stain,pigmented,coloration,colored,colour,colorimetric,multicolor,dyeing,colorful,coloring,tinted,multicolored	478	/ɒl/	AA|L	ol	c	4
ëfl	female,feminine,woman,women	475	/ɜːfl/	ER|F|L	erfl	h	4
erng	bearing	474	/ɛɹŋ/	EH|R|NG	ehrng	p	2
ékw	order,sequence,sequential,ordered,ordering,sequencing,orders,sequences	470	/iːkw/	IY|K|W	eekw	s	2
öst	aesthetic,art,artistic,artist,aesthetically	470	/ɔɪst/	OY|S|T	oist	g	3
udv	advocate, advocating	469	/ʌdv/	AH|D|V	uhdv	s	3
igw	linguistic,language,dialect,colloquial,linguistics,jargon	467	/ɪgw/	IH|G|W	ihgw	z	2
ob	goal,object,objective,purpose,purposeful	467	/ɒb/	AA|B	ob	np	2
ach	attachment, adhesion, adherence, following, adherent, follower, adhering, adhered, follow, disciple	464	/ætʃ/	AE|CH	aach	þ	2
ótl	total, completion, complete, exhaustion, fatigue, completed, totality, aggregate, fatigued, whole, exhaustive, wholeness, summation, sum, entire, exhausted, exhausting, exhaust, tired, totalization, completely, completeness, all	463	/oʊtl/	OW|T|L	ohtl	k	3
inf	information,data,informational,informed,informant,informative	457	/ɪnf/	IH|N|F	ihnf	g	2
éls	concealment,secret,clandestine,hidden,covert,concealed,secrecy,stealth,stealthy,concealing,secreted,secretive,covertness	450	/iːls/	IY|L|S	eels	s	2
ûtr	destruction,ruin,destructive,ruining,destroy	445	/ʊtɹ/	UH|T|R	uutr	b	2
op	opposition,counter	444	/ɒp/	AA|P	op	s	2
ind	induction,inductance	442	/ɪnd/	IH|N|D	ihnd	s	2
ofy	philosophical,philosopher	438	/ɒfj/	AA|F|Y	ofy	n	2
ex	expression, declaration, statement, assertion, expressing, announcement, expressive, statements, expressions, declared, declaring, assertive, articulating, expressed, expressiveness	430	/ɛks/	EH|KS	ehks	z	2
éljn	regional,region,sector	429	/iːldʒn/	IY|L|JH|N	eeljn	ž	2
imj	image,photographic,imaging,picture,illustration,drawing,sketch,photography,draw,pictorial,imager,photographed,images,sketching,photographer	426	/ɪmdʒ/	IH|M|JH	ihmj	z	4
od	body, bodily, flesh, meat, fleshly, carnal, fleshy, beef, poultry, corporeal, fleshed, pork, bodies, corporation	426	/ɒd/	AA|D	od	h	2
éj	rejection,rejecter,rejecting	421	/iːdʒ/	IY|JH	eej	þ	2
ëth	earth,soil,terrestrial,clay,land,ground,earthen,earthwork,landed	417	/ɜːθ/	ER|TH	erth	ñg	4
ásp	relocation, displacement, dislodgment, relocator, from	413	/eɪsp/	EY|S|P	aysp	p	3
iskl	physical	412	/ɪskl/	IH|S|K|L	ihskl	b	2
ithm	mythological,mythical,myth	409	/ɪθm/	IH|TH|M	ihthm	w	3
amk	academic,scholar,collegiate,scholars	408	/æmk/	AE|M|K	aamk	g	3
ud	blood,blooded	408	/ʌd/	AH|D	uhd	u	4
éfz	feasibility	405	/iːfz/	IY|F|Z	eefz	j	2
én	event,occurrence,incident,events	402	/iːn/	IY|N	een	ß	4
ízh	visual, vision, sight, visually	400	/aɪʒ/	AY|ZH	iyzh	f	2
ám	amusement,game,recreation,sport,recreational,play,amusing,amused,sports,playing,gaming,fun	395	/eɪm/	EY|M	aym	þ	3
